Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
20FOUR,New South Wales,startup,,http://20four.com.au,early stage,1,media,Sydney,"2000 Sydney, New South Wales, Australia",Athlete-to-fan mobile-based sporting community focused around creating genuine connections between fans and athletes,https://www.linkedin.com/company/20four,https://nsw.dealroom.co/companies/20four,0,,
23strands,New South Wales,startup,manufacturing,http://23strands.com,early stage,11-50,health,Sydney,"Pirrama Road, Pyrmont, Sydney, Council of the City of Sydney, New South Wales, 2009, Australia","Genomic insights from whole genome sequencing to optimize medication and assess disease risk, enhancing personalized healthcare",https://www.linkedin.com/company/23strands/,https://nsw.dealroom.co/companies/23strands,0,,
2and2,New South Wales,scaleup,subscription,http://2and2.com.au,early stage,2-10,education,Sydney,"2008 Sydney, New South Wales, Australia",2and2 creates beautiful digital experiences that both educate and inspire,https://www.linkedin.com/company/2and2/,https://nsw.dealroom.co/companies/2and2,0,,
360dgrees.com,New South Wales,scaleup,subscription,http://360dgrees.com,early stage,2-10,media,Sydney,"2000 Sydney, New South Wales, Australia","Interactive video content platform you can upload, manage, customize and publish standard and 360 video content ",https://www.linkedin.com/company/360dgrees-com/,https://nsw.dealroom.co/companies/360dgrees_com,0,,
37PropertyGroup,New South Wales,scaleup,,http://37propertygroup.com.au,early stage,2-10,,Sydney,"Sydney, New South Wales, Australia",Buyers agent focused on australia's residential property market,https://www.linkedin.com/company/37-property-group/,https://nsw.dealroom.co/companies/37propertygroup,0,,
3D Habitat,New South Wales,scaleup,deep tech;virtual reality;3d technology;selling own inventory;manufacturing,http://3dhabitat.com.au,early stage,2-10,media,Sydney,"2040 Sydney, New South Wales, Australia",3D Habitat is specialises in architectural communication,https://www.linkedin.com/company/3d-habitat,https://nsw.dealroom.co/companies/3d_habitat,0,,
3Dent,New South Wales,startup,3d technology;selling own inventory;manufacturing,https://3dent.com.au,early stage,,health,Casino,"Northern Rivers Mail Sorting Centre, Casino, Richmond Valley Council, New South Wales, 2470, Australia",Dental industry with solutions and a personalised touch,,https://nsw.dealroom.co/companies/3dent,0,,
3DMorphic,New South Wales,scaleup,selling own inventory;manufacturing,http://3dmorphic.com,early stage,11-50,health,Sydney,"2000 Sydney, New South Wales, Australia",,https://www.linkedin.com/company/3dmorphic/,https://nsw.dealroom.co/companies/3dmorphic,0,,
3Helps,New South Wales,startup,advertising,http://3helps.com,early stage,,event tech,Sydney,"Sydney, New South Wales, Australia","Helping charities, helping neighbours, helping you",,https://nsw.dealroom.co/companies/3helps,0,,
3ME Technology,New South Wales,startup,selling own inventory;manufacturing,http://3me.technology,early stage,2-10,energy,Newcastle-Maitland,"Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2300, Australia","We deliver clean energy tech to heavy industry, developing and deploying powerful, zero-emissions electric systems for the toughest off-road vehicles and equipment",https://www.linkedin.com/company/batt-mobile-equip/,https://nsw.dealroom.co/companies/3me_technology,0,,
48 Hours,New South Wales,startup,subscription;saas,http://48-hrs.com,early stage,2-10,travel,Sydney,"Sydney, New South Wales, Australia",Company that helps hotels improve the various metrics,https://www.linkedin.com/company/48-hrs/,https://nsw.dealroom.co/companies/48_hours,0,,
4four Creative,New South Wales,scaleup,,http://4four.com.au,early stage,1,,Sydney,"2015 Sydney, New South Wales, Australia","4four Creative deliver first-grade strategic graphic design services, integrated across both print and digital platforms",https://www.linkedin.com/company/4four-creative,https://nsw.dealroom.co/companies/4four_creative,0,,
4me.video,New South Wales,startup,subscription;saas,http://4me.video,early stage,2-10,media;marketing,Sydney,"2000 Sydney, New South Wales, Australia",Amplify engagement and truly connect through Dynamic Personalised Interactive video (DPIV),https://www.linkedin.com/company/4me-video,https://nsw.dealroom.co/companies/4me_video,0,,
55knots,New South Wales,startup,subscription,http://55knots.com.au,early stage,11-50,media,Sydney,"Lower St Georges Crescent, 2047 Sydney, New South Wales, Australia",,https://www.linkedin.com/company/55-knots/,https://nsw.dealroom.co/companies/55knots,0,,
5B,New South Wales,scaleup,commission;manufacturing,https://5b.co/,breakout stage,201-500,energy,Sydney,"Bowden Street, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia","Clean technology innovation powerhouse that accelerates access to low-cost, safely deployed, gigawatt-scale solar energy",https://www.linkedin.com/company/5baus/,https://nsw.dealroom.co/companies/5b,2,,
60seconds,New South Wales,scaleup,mobile app;subscription;saas,http://60seconds.com,early stage,11-50,,Sydney,"Sydney, New South Wales, Australia",,https://www.linkedin.com/company/60seconds-com/,https://nsw.dealroom.co/companies/60seconds_1,0,,
86 400,New South Wales,startup,commission,https://www.86400.com.au/,breakout stage,501-1000,fintech,Sydney,"35 Clarence Street, 2000 Sydney, New South Wales, Australia",Australia’s newest bank and first smartbank,https://www.linkedin.com/company/ubank-au/,https://nsw.dealroom.co/companies/86_400,0,,
89n,New South Wales,scaleup,,http://89n.com,early stage,2-10,dating,Sydney,"Sydney, New South Wales, Australia",89n - Products for People,https://www.linkedin.com/company/89n/,https://nsw.dealroom.co/companies/89n,0,,
8common,New South Wales,scaleup,subscription;saas,http://www.8common.com/,early stage,11-50,fintech;enterprise software,Sydney,"213, Miller Street, Victoria Cross, North Sydney, Sydney, North Sydney Council, New South Wales, 2060, Australia","Software solutions help customers get organised, boost productivity, and deliver results",https://www.linkedin.com/company/8common/,https://nsw.dealroom.co/companies/8common,1,,
8Contacts,New South Wales,scaleup,,http://8contacts.com,early stage,2-10,,Sydney,"Sydney, New South Wales, Australia",“8Contacts aspires to be the best in the world at connecting B2B using professional networkers in cities around the world,,https://nsw.dealroom.co/companies/8contacts,0,,
8seats,New South Wales,startup,subscription;saas,http://8seats.com,early stage,11-50,enterprise software,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Dynamic messaging platform enhancing team communication with 256-bit encryption and reduced channel complexity,https://www.linkedin.com/company/8seats/,https://nsw.dealroom.co/companies/8seats,1,,
@pay,New South Wales,startup,subscription,https://codelatte.io,early stage,2-10,fintech,Sydney,"York Street, 2000 Sydney, New South Wales, Australia",ECommerce solution for consumers & merchants,http://www.linkedin.com/company/atpay,https://nsw.dealroom.co/companies/_pay,0,,
[cu]health,New South Wales,startup,subscription,http://cuhealth.com.au,early stage,11-50,health,Sydney,"2041 Sydney, New South Wales, Australia","The health of your business, reimagined",https://www.linkedin.com/company/cuhealth/,https://nsw.dealroom.co/companies/_cu_health,0,,
A1 QUALITY CLEANING,New South Wales,scaleup,subscription;marketplace & ecommerce,http://a1qualitycleaning.com.au,early stage,2-10,real estate;home living,Sydney,"2150 Sydney, New South Wales, Australia",Outstanding cleaning services company with more than 7 years experience,https://www.linkedin.com/company/a1cleaningquality/,https://nsw.dealroom.co/companies/a1_quality_cleaning,0,,
ABA Technology,New South Wales,scaleup,blockchain,http://abatech.com.au,early stage,,fintech,Sydney,"Sydney, New South Wales, Australia",EI8HT - The best way to safely send and receive Bitcoin,,https://nsw.dealroom.co/companies/aba_technology,0,,
Abc assignment help,New South Wales,startup,subscription,http://abcassignmenthelp.com,early stage,2-10,health;fintech,Sydney,"2000 Sydney, New South Wales, Australia",Online assignment help and essay writing company who is helping students to excel in their course ,https://www.linkedin.com/company/abcassignmenthelp-com/,https://nsw.dealroom.co/companies/abc_assignment_help,0,,
AbilityMade,New South Wales,scaleup,deep tech;subscription;manufacturing,https://www.abilitymade.com/,early stage,11-50,health,Sydney,"York Street, 2000 Sydney, New South Wales, Australia",A mission-driven org working to give children with disabilities access to the orthoses they need to live their best life,https://www.linkedin.com/company/abilitymade/,https://nsw.dealroom.co/companies/abilitymade,0,,
AbilityMap,New South Wales,scaleup,commission;saas,http://abilitymap.com,early stage,2-10,jobs recruitment,Sydney,"Sydney, New South Wales, Australia","Business intelligence platform gives leaders unique insights into driving productivity, representing a major breakthrough in people-performance analytics. Focussed on the drivers of high performance, job by job. Has high utility and scalability",https://www.linkedin.com/company/ability-map/,https://nsw.dealroom.co/companies/abilitymap,0,,
About my Brain Institute,New South Wales,scaleup,subscription,http://aboutmybrain.com,early stage,11-50,education,Sydney,"2060 Sydney, New South Wales, Australia",The About my Brain Institute,https://www.linkedin.com/company/aboutmybrain/,https://nsw.dealroom.co/companies/about_my_brain_institute,0,,
Abrility,New South Wales,startup,subscription;saas,http://abrility.com,early stage,2-10,education;marketing,Sydney,"Sydney, New South Wales, Australia",You engage your audience and collect feedback in real time,https://www.linkedin.com/company/abrility/,https://nsw.dealroom.co/companies/abrility,0,,
ABx Group,New South Wales,scaleup,manufacturing,https://abxgroup.com.au,breakout stage,11-50,energy;engineering and manufacturing equipment,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Australian mineral exploration for bauxite and rare earths,https://www.linkedin.com/company/abx-group/,https://nsw.dealroom.co/companies/abx_group,0,,
Abyss Solutions,New South Wales,scaleup,machine learning;deep tech;artificial intelligence;commission;manufacturing,http://abysssolutions.co,breakout stage,51-200,robotics,Sydney,"2009 Sydney, New South Wales, Australia",Robotic inspection and data analytics for critical infrastructure,https://www.linkedin.com/company/abyss-solutions-ltd/,https://nsw.dealroom.co/companies/abyss_solutions,2,,
Acacia Money,New South Wales,startup,mobile app;commission;saas,https://www.acaciamoney.com/,early stage,2-10,fintech,Sydney,"2000 Sydney, New South Wales, Australia","A financial technology and platform business that is reshaping financial services so that people and our planet can access a better future through simpler, smarter and more sustainable money management",https://www.linkedin.com/company/acaciamoney/,https://nsw.dealroom.co/companies/acacia_money,0,,
Academy Xi,New South Wales,scaleup,commission;marketplace & ecommerce,http://academyxi.com,breakout stage,51-200,education,Sydney,"Druitt Street, 2000 Sydney, New South Wales, Australia","A future focused training company that provides short, practical, and skill specific programs for individuals and teams to upgrade their capabilities in design and emerging technology",https://www.linkedin.com/school/academy-xi/,https://nsw.dealroom.co/companies/academy_xi,0,,
Acanthis,New South Wales,startup,subscription;saas,http://acanthis.io,early stage,2-10,enterprise software,Sydney,"Hurstville, Escalator 2 Forest Rd, Hurstville, Sydney, Georges River Council, New South Wales, 2220, Australia",Acanthis is a business advisory platform designed to help create valuable businesses for SME's,https://www.linkedin.com/company/acanthis-io/,https://nsw.dealroom.co/companies/acanthis,0,,
Accounting for Nature,New South Wales,startup,subscription;saas,http://accountingfornature.org,early stage,11-50,fintech;energy,Sydney,"Sydney, New South Wales, Australia",A tool for measuring environmental assets and an optional certification pathway for sustainability claims,https://www.linkedin.com/company/accounting-for-nature-ltd/,https://nsw.dealroom.co/companies/accounting_for_nature,0,,
Accurassi,New South Wales,scaleup,commission;saas,http://accurassi.com,early stage,2-10,enterprise software,Sydney,"2067 Sydney, New South Wales, Australia","Modular, scalable platform for future energy retailers enabling renewable energy supply and customer management",https://www.linkedin.com/company/accurassi/,https://nsw.dealroom.co/companies/accurassi,0,,
Acegirl,New South Wales,startup,commission,https://www.acegirl.com.au/,early stage,1,health,Sydney,"Rose Bay, Eastern Suburbs, Sydney, Woollahra Municipal Council, New South Wales, 2029, Australia",On a mission to empower women globally to excel at work and motherhood,https://www.linkedin.com/company/acegirl/,https://nsw.dealroom.co/companies/acegirl,0,,
Acresta,New South Wales,scaleup,subscription;saas,http://acresta.com,early stage,2-10,energy,Sydney,"2000 Sydney, New South Wales, Australia",Acresta An Australian Technology Firm delivering Enterprise Mobility and Sustainability Solutions,https://www.linkedin.com/company/acresta/,https://nsw.dealroom.co/companies/acresta,0,,
Active Media Group,New South Wales,scaleup,subscription,http://activemediagroup.com.au,early stage,2-10,media,Sydney,"2026 Sydney, New South Wales, Australia","Active Media Group is global content provider behind some of the world’s top health, fitness and lifestyle print and digital publications",https://www.linkedin.com/company/active-media-group,https://nsw.dealroom.co/companies/active_media_group,0,,
ActiveActivities,New South Wales,scaleup,mobile app;marketplace & ecommerce,http://activeactivities.com.au,early stage,,kids;event tech,,"New South Wales, Australia",ActiveActivities is an online marketplace set up to connect parents and carers with providers of kids activities (by The Digital Company),https://www.linkedin.com/company/activeactivities/,https://nsw.dealroom.co/companies/activeactivities,0,,
ActiveXchange,New South Wales,startup,subscription;saas,http://activexchange.org,early stage,11-50,sports,Sydney,"2000 Sydney, New South Wales, Australia",ActiveXchange Aus & NZ - SportsEye | ActiveXchange Aus & NZ - SportsEye,https://www.linkedin.com/company/activexchange/,https://nsw.dealroom.co/companies/activexchange,0,,
Acuity Research & Insights,New South Wales,scaleup,subscription,http://acuityresearch.com.au,early stage,11-50,,Sydney,"2060 Sydney, New South Wales, Australia",The team at Acuity Research and Insights provide compelling,https://www.linkedin.com/company/acuity-research-&-insights/,https://nsw.dealroom.co/companies/acuity_research_insights,0,,
Ad Robot,New South Wales,startup,subscription;saas,http://adrobot.com.au,early stage,2-10,media;marketing,Sydney,"58,60,62, Mallett Street, Camperdown, Sydney, Council of the City of Sydney, New South Wales, 2050, Australia",Ad Robot builds world class advertising campaigns for pocket change,https://www.linkedin.com/company/adrobot/,https://nsw.dealroom.co/companies/ad_robot,0,,
ADAPT Ideations,New South Wales,startup,big data;commission;saas,http://adaptideations.com,early stage,11-50,enterprise software,Sydney,"York Street, 2000 Sydney, New South Wales, Australia",Leading innovator of B2B solutions assisting companies to protect their assets,https://www.linkedin.com/company/adapt-ideations/,https://nsw.dealroom.co/companies/adapt_ideations,0,,
adash,New South Wales,startup,,http://adashapp.com,early stage,2-10,food,Sydney,"York Street, Koreatown, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",App-based community platform for food enthusiasts,https://www.linkedin.com/company/adash-me/,https://nsw.dealroom.co/companies/adash_1_1,0,,
Adatree,New South Wales,startup,subscription;saas,https://adatree.com.au,early stage,2-10,fintech,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Helps organizations unleash the potential of open banking and the CDR through turnkey data recipient and data holder solutions,https://www.linkedin.com/company/adatree/,https://nsw.dealroom.co/companies/adatree,0,,
Adbiddr,New South Wales,scaleup,commission;marketplace & ecommerce,http://adbiddr.com,early stage,,marketing,Sydney,"2000 Sydney, New South Wales, Australia",Marketplace for buying and selling advertising space on digital billboards,https://www.linkedin.com/company/adbiddr/,https://nsw.dealroom.co/companies/adbiddr,0,,
AdBidx,New South Wales,scaleup,advertising;saas,http://adbidx.com,early stage,2-10,media;marketing,Sydney,"Sydney, New South Wales, Australia",Digital Billboard Advertising Exchange,https://www.linkedin.com/company/adbidx/,https://nsw.dealroom.co/companies/adbidx,0,,
Adexperts,New South Wales,scaleup,deep tech;3d technology;subscription,http://adexperts.com.au,early stage,11-50,marketing,Sydney,"2000 Sydney, New South Wales, Australia","We develop Credible Website ,Creative Design and Effective SEO Print Business Card, Flyer, Promotional material and banners",https://www.linkedin.com/company/adexpertsaus/,https://nsw.dealroom.co/companies/adexperts,0,,
Adiona,New South Wales,startup,subscription;saas,http://adionatech.com,early stage,2-10,enterprise software,Sydney,"Oceania Cres, 2106 Sydney, New South Wales, Australia",Sustainable cities and communities,https://www.linkedin.com/company/adionatech/,https://nsw.dealroom.co/companies/adiona_1_1,0,,
AdLux,New South Wales,scaleup,advertising,http://adlux.com,early stage,11-50,,Sydney,"Bondi Junction, Sydney, Waverley Council, New South Wales, 2022, Australia",,https://www.linkedin.com/company/874259/,https://nsw.dealroom.co/companies/adlux,0,,
Admyt,New South Wales,startup,advertising,http://admyt.com,early stage,11-50,transportation,Sydney,"2000 Sydney, New South Wales, Australia","Making parking simple, seamless and smart",https://www.linkedin.com/company/admyt/,https://nsw.dealroom.co/companies/admyt,1,,
Adora,New South Wales,startup,artificial intelligence;recognition technology;subscription;saas,https://adora.ai,early stage,11-50,enterprise software,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",AI-powered product experience and user journey visualization.,https://www.linkedin.com/company/adora-so/,https://nsw.dealroom.co/companies/adora_6,0,,
Advance English,New South Wales,scaleup,marketplace & ecommerce,https://advanceenglish.com.au,early stage,1,education,Sydney,"Holden Street, Ashfield, Inner West, Sydney, Inner West Council, New South Wales, 2131, Australia",,https://www.linkedin.com/company/advance-english-australia/,https://nsw.dealroom.co/companies/advance_english,0,,
Advanced Alloy Holdings,New South Wales,startup,manufacturing,http://advancedalloyholdings.com,early stage,,,Sydney,"Wyndora Avenue, Freshwater, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2096, Australia",Tailored metal alloy solutions for advanced manufacturing,,https://nsw.dealroom.co/companies/advanced_alloy_holdings,0,,
AdvanCell,New South Wales,startup,commission;manufacturing,http://www.advancell.com.au,late stage,51-200,health,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment",https://www.linkedin.com/company/advancell/,https://nsw.dealroom.co/companies/advancell_isotopes,8,,
Adventure Junky,New South Wales,scaleup,mobile app;commission;saas,https://adventurejunky.earth/,early stage,1,travel,Wollongong City Council,"Lawrence Hargrave Drive, Scarborough, Wollongong City Council, New South Wales, 2515, Australia",Helps you travel in a more sustainable way and offset your CO2 emissions,https://www.linkedin.com/company/adventure-junky-offsetter/,https://nsw.dealroom.co/companies/adventure_junky,0,,
Adventure Squad,New South Wales,startup,,http://adventuresquad.com.au,early stage,2-10,travel,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",,https://www.linkedin.com/company/adventure-squad/,https://nsw.dealroom.co/companies/adventure_squad,0,,
AdventureHoney,New South Wales,scaleup,,http://adventurehoney.com,early stage,2-10,,Sydney,"Sydney, New South Wales, Australia",Book kick arse adventures direct,https://www.linkedin.com/company/adventurehoney/,https://nsw.dealroom.co/companies/adventurehoney,0,,
Advertise Me Pty Ltd,New South Wales,scaleup,,https://advertiseme.com.au,early stage,2-10,marketing,Sydney,"181, Church Street, Parramatta, Sydney, City of Parramatta Council, New South Wales, 2150, Australia",Digital Signage | Digital Wayfinding | Social Wall | Interactive Solutions | Hardware Software,https://www.linkedin.com/company/advertise-me-pty-ltd/,https://nsw.dealroom.co/companies/advertise_me_pty_ltd,0,,
Advice RegTech,New South Wales,startup,saas,https://www.adviceregtech.com/,early stage,2-10,legal;fintech,Sydney,"2000 Sydney, New South Wales, Australia",Surveillance and monitoring tool for financial advice,https://www.linkedin.com/company/advice-regtech/,https://nsw.dealroom.co/companies/advice_regtech,0,,
AdviceRoo,New South Wales,startup,advertising,http://adviceroo.com,early stage,2-10,travel,Sydney,"2765 Sydney, New South Wales, Australia",Adviceroo. Connecting advisers to you when you need advice quickly.,https://www.linkedin.com/company/adviceroo/,https://nsw.dealroom.co/companies/adviceroo,0,,
Adviser Ratings,New South Wales,scaleup,commission;marketplace & ecommerce,http://adviserratings.com.au,early stage,11-50,fintech,Sydney,"2000 Sydney, New South Wales, Australia",Financial adviser ratings and customer review services provider,https://www.linkedin.com/company/adviser-ratings/,https://nsw.dealroom.co/companies/adviser_ratings,0,,
AdviserVoice,New South Wales,scaleup,subscription,http://adviservoice.com.au,early stage,2-10,fintech,Sydney,"2034 Sydney, New South Wales, Australia",The mission of AdviserVoice is to act as a thought leadership conduit for financial advisers,https://www.linkedin.com/company/adviservoice-pty-limited,https://nsw.dealroom.co/companies/adviservoice,0,,
Advisr,New South Wales,startup,commission;subscription;saas;marketplace & ecommerce,http://advisr.com.au,early stage,2-10,fintech,Sydney,"155 Clarence Street , Sydney, NSW 2000, AU",Advisr - Insurance Brokers You Can Trust,https://www.linkedin.com/company/advisr/,https://nsw.dealroom.co/companies/advisr_1_1,0,,
Aerologix,New South Wales,startup,commission;saas,http://aerologix.com,early stage,11-50,robotics,Sydney,"South Steyne, Manly, Sydney, Northern Beaches Council, New South Wales, 2095, Australia",Connects drone pilots with customers using smart phone technology and purpose-built app,https://www.linkedin.com/company/aerologix/,https://nsw.dealroom.co/companies/aerologix,0,,
Affirmer,New South Wales,startup,saas,http://affirmer.com.au,early stage,2-10,education,Sydney,"Sydney, New South Wales, Australia",Learning confirmed,https://www.linkedin.com/company/affirmer/,https://nsw.dealroom.co/companies/affirmer,0,,
African property group,New South Wales,startup,,http://www.africanproperty.co/,early stage,2-10,real estate,Sydney,"Australia, Sydney, AU",,https://www.linkedin.com/company/african-property-group/,https://nsw.dealroom.co/companies/african_property_group,0,,
Africar Group,New South Wales,startup,commission;marketplace & ecommerce,http://www.africargroup.com,early stage,2-10,transportation,Sydney,"Sydney, New South Wales, Australia","An online marketplace that enables its customers to sell and buy cars, trucks, and motorbikes",https://www.linkedin.com/company/africar-group,https://nsw.dealroom.co/companies/africar_group,0,,
Agalytics Pty Ltd,New South Wales,startup,subscription;saas,http://agile-analytics.com.au,breakout stage,51-200,enterprise software,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia","Agile Analytics Australia is a Microsoft Advanced Specialist partner that provides business intelligence (BI), data platform, and application integration consulting, project delivery, training, and support",https://www.linkedin.com/company/agile-insights-au/,https://nsw.dealroom.co/companies/agalytics_pty_ltd,0,,
Agate,New South Wales,startup,blockchain;machine learning;artificial intelligence;commission,http://agatechain.org,early stage,2-10,fintech,Sydney,"2060 Sydney, New South Wales, Australia",World most comprehensive decentralized blockchain platform for instant payment without volatility risk,,https://nsw.dealroom.co/companies/agate,0,,
Agency M,New South Wales,scaleup,,http://agencym.com.au,early stage,11-50,,Sydney,"North Sydney, Sydney, North Sydney Council, New South Wales, 2060, Australia","A wealth of experience and expertise in seo and ppc, social media, and website development",https://www.linkedin.com/company/agency-m/,https://nsw.dealroom.co/companies/agency_m,0,,
Aggie Global,New South Wales,startup,subscription;marketplace & ecommerce,http://aggieglobal.com,early stage,2-10,food,Sydney,"2000 Sydney, New South Wales, Australia","Aggie Global - connecting small farmers to big markets
        
        
        – Aggie Global Fiji",https://www.linkedin.com/company/aggie-global/,https://nsw.dealroom.co/companies/aggie_global,0,,
aglow,New South Wales,startup,subscription,http://getaglow.co,early stage,11-50,wellness beauty,Sydney,"Mountain Street, Ultimo, Sydney, Council of the City of Sydney, New South Wales, 2007, Australia","Aglow are here to help make beauty memberships the new normal, improving the businesses and lives of beauty professionals",https://www.linkedin.com/company/getaglow/,https://nsw.dealroom.co/companies/getaglow,0,,
AgriDigital,New South Wales,scaleup,blockchain;mobile app;commission;saas,http://agridigital.io,breakout stage,11-50,fintech;food,Sydney,"201 Elizabeth Street, 201, Elizabeth Street, Koreatown, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","Agtech company making agri supply chains simple, easy and secure from farmer to consumer",https://www.linkedin.com/company/agridigital/,https://nsw.dealroom.co/companies/agridigital,0,,
Agriwebb,New South Wales,scaleup,mobile app;subscription;saas,http://agriwebb.com,breakout stage,51-200,food,Sydney,"85-93, Commonwealth Street, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia",Livestock Business Management that moves the industry forward,https://www.linkedin.com/company/agriwebb/,https://nsw.dealroom.co/companies/agriwebb,3,,
