Company name,Segment,Type,Website,Growth stage,Launch year,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Total funding (AUD),Status,Sponsor visa available,Hires international students
Adore Beauty,,,http://www.adorebeauty.com.au,breakout stage,2000,51-200,wellness beauty;fashion,Melbourne,"421 High St, Northcote, Victoria 3070, AU",Adore Beauty | Australia's Online Beauty Store,https://www.linkedin.com/company/adorebeauty-com-au/,https://ecosystem.innovationvictoria.com/companies/adore_beauty,2,,operational,,
Advatek,scaleup,selling own inventory;manufacturing,http://advateklighting.com,early stage,2012,11-50,semiconductors,Melbourne,"4/3-5, Gilda Court, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",Advanced pixel controllers for professional LED lighting.,https://www.linkedin.com/company/advateklighting,https://ecosystem.innovationvictoria.com/companies/advatek,1,,operational,,
Adxl,startup,advertising;saas,http://adxl.ai,early stage,2022,11-50,marketing,Melbourne,"447, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","AI Automated Google Facebook LinkedIn TikTok Instagram Twitter Ad Campaign create, distribute, and manage with targeting and retargeting delivering results beyond human limits",https://www.linkedin.com/company/adxlai/,https://ecosystem.innovationvictoria.com/companies/adxl_1,1,,operational,,
Agemate,startup,commission;manufacturing,http://agemate.com,early stage,2022,11-50,wellness beauty,Melbourne,"Gwynne Street, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia",Nutrition to Reverse your Biological Age,https://www.linkedin.com/company/agemate/,https://ecosystem.innovationvictoria.com/companies/agemate,9,,operational,,
AIM,startup,deep tech;artificial intelligence;selling own inventory;manufacturing,http://aimdefence.com,early stage,2017,11-50,security;semiconductors,Melbourne,"Derrimut, Melbourne, City of Brimbank, Victoria, 3026, Australia",AIM builds ultra-compact high-power laser systems with the most advanced AI tracking in the world,https://www.linkedin.com/company/aim-defence/,https://ecosystem.innovationvictoria.com/companies/aimdefence,4,,operational,,
Air Aroma,,advertising;manufacturing,https://air-aroma.com,breakout stage,1998,51-200,fashion,Melbourne,"Cheltenham, Caulfield-Frankston Rail Trail, Pennydale, Cheltenham, Melbourne, City of Bayside, Victoria, 3192, Australia",Scent marketing solutions creating custom fragrances and aroma diffuser systems for luxury brands and diverse industries,https://www.linkedin.com/company/air-aroma-group/,https://ecosystem.innovationvictoria.com/companies/air_aroma,5,100001,operational,,
Alcidion,,commission;saas,https://www.alcidion.com/,breakout stage,2000,51-200,health;enterprise software,Melbourne,"Yarra Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",A leading provider of software solutions for high performance healthcare that empower clinicians with decision support tools to ensure the highest quality of care for their patient,https://www.linkedin.com/company/alcidion-corporation,https://ecosystem.innovationvictoria.com/companies/alcidion,2,18668183,operational,,
ALFA PTE & NAATI,startup,,http://alfapte.com,early stage,2019,11-50,education,Melbourne,"Melbourne, Australia",ALFAPTE - Best PTE Practice Webiste with AI Scoring & Tutorials | Online PTE Coaching,https://www.linkedin.com/company/alfapte/,https://ecosystem.innovationvictoria.com/companies/alfa_pte_naati,2,,operational,,
Allkinds,startup,selling own inventory;manufacturing,http://allkinds.com,breakout stage,2021,51-200,wellness beauty,Melbourne,"425 St Kilda Rd, Melbourne, Victoria 3004, AU","A new world of self-care and self-expression, just for kids and teens",https://www.linkedin.com/company/all-kinds/,https://ecosystem.innovationvictoria.com/companies/allkinds,1,,operational,,
Alpha-H,,selling own inventory;marketplace & ecommerce,https://alpha-h.com/,early stage,1995,11-50,wellness beauty,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Manufactures corrective and preventative skincare products,https://www.linkedin.com/company/alpha-h/,https://ecosystem.innovationvictoria.com/companies/alpha_h,3,,operational,,
AmazingCo,startup,,http://amazingco.me,breakout stage,2017,51-200,event tech,Melbourne,"Mollison Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia","Experiences platform, helping people spend their free time in a way that leads to greater fulfilment in life",https://www.linkedin.com/company/amazingco/,https://ecosystem.innovationvictoria.com/companies/amazingco,20,7749091,operational,,
Amber Electric,startup,commission;marketplace & ecommerce,https://www.amber.com.au/,breakout stage,2017,201-500,energy,Melbourne,"1, 207-361, Flinders Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",An energy provider with a mission to shift Aus to 100% renewables faster,https://www.linkedin.com/company/amberelectric/,https://ecosystem.innovationvictoria.com/companies/amber_electric,9,154242183,operational,,
Andisor,startup,commission;marketplace & ecommerce;saas,https://andisor.com,early stage,2021,11-50,fashion;enterprise software,Melbourne,"120, Spencer Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","Curated B2B marketplace, connecting global brands with Australian retailers",https://www.linkedin.com/company/andisorinc/,https://ecosystem.innovationvictoria.com/companies/andisor,1,1199999,operational,,
Andromeda Robotics,startup,artificial intelligence;hardware;deep tech;machine learning;natural language processing;computer vision;autonomous & sensor tech;recognition technology;selling own inventory;manufacturing,https://andromedarobotics.ai,breakout stage,2022,11-50,robotics,Melbourne,"Hawthorn, Melbourne, City of Boroondara, Victoria, 3122, Australia",Exploring the frontiers of human-robot interaction and designing the next generation of companion robots,https://www.linkedin.com/company/andromedarobotics/,https://ecosystem.innovationvictoria.com/companies/andromeda_,2,27120000,operational,,
Angle Finance,startup,commission,http://anglefinance.com.au,breakout stage,2019,51-200,fintech;transportation,Melbourne,"360, Collins Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia","Secured finance for commercial vehicles and equipment, featuring rapid online qualification and transparent fees for Australian businesses",https://www.linkedin.com/company/angle-finance/,https://ecosystem.innovationvictoria.com/companies/angle_finance,4,,operational,,
Aptella,scaleup,manufacturing,https://aptella.com,breakout stage,2008,201-500,robotics,Melbourne,"Enterprise Drive, University Hill Precinct, Bundoora, Melbourne, City of Whittlesea, Victoria, 3083, Australia",Automation and positioning technology for heavy industries,https://www.linkedin.com/company/aptella/,https://ecosystem.innovationvictoria.com/companies/aptella,2,,low-activity,,
Archa,startup,,http://www.archa.com.au/,early stage,2018,11-50,fintech;marketing,Melbourne,"401, Collins Street, 3000 Melbourne, Australia",A business credit card and spend management platform for small businesses and startups,https://www.linkedin.com/company/archamoney/,https://ecosystem.innovationvictoria.com/companies/archamoney,2,6181819,operational,,
Arkeus,startup,artificial intelligence;hardware;autonomous & sensor tech;recognition technology;commission;manufacturing,https://arkeus.com/,breakout stage,2020,51-200,transportation,Melbourne,"8, Rogers Street, Port Melbourne, Melbourne, City of Melbourne, Victoria, 3207, Australia","AI-powered hardware for autonomous drones and aircraft, enhancing ISR missions with advanced optics and autonomy",https://www.linkedin.com/company/arkeus-sensors/,https://ecosystem.innovationvictoria.com/companies/arkeus,14,47026364,operational,,
Assembly Four,startup,,http://assemblyfour.com,early stage,2017,2-10,legal,Melbourne,"Spencer St, Melbourne, Victoria AU",Empowering Sex Workers through Technology,https://www.linkedin.com/company/assemblyfour/,https://ecosystem.innovationvictoria.com/companies/assembly_four,6,,operational,,
Atticus Tech,startup,,http://www.atticus.tech,breakout stage,2017,51-200,legal;fintech,Melbourne,"333, Exhibition Street, 3004 Melbourne, Australia","Atticus provides law firms and their clients with a platform they need to complete verifications securely, efficiently and accurately",https://www.linkedin.com/company/atticustech/,https://ecosystem.innovationvictoria.com/companies/atticus_tech,3,10820000,operational,,
AutoGrab,startup,commission;marketplace & ecommerce;saas,http://autograb.com.au,breakout stage,2020,51-200,transportation,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Provides an unprecedented look into the entire automotive market,https://www.linkedin.com/company/autograb/,https://ecosystem.innovationvictoria.com/companies/autograb,10,85000000,operational,,
Axxin,scaleup,marketplace & ecommerce,http://www.axxin.com,early stage,2006,11-50,health,Melbourne,"582, Heidelberg Road, Alphington, Melbourne, City of Yarra, Victoria, 3078, Australia","Axxin provides platforms and diagnostic products for biomedical applications that bridge the gap from research to market with world leading innovation, capability and cost effectiveness",https://www.linkedin.com/company/axxin/,https://ecosystem.innovationvictoria.com/companies/axxin,1,,operational,,
Balance Internet,scaleup,subscription;saas,https://balanceinternet.com.au,breakout stage,2008,51-200,enterprise software,Melbourne,"Rupert Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",Intelligent. Creative. Results,https://www.linkedin.com/company/balance-internet/,https://ecosystem.innovationvictoria.com/companies/balance_internet,1,,operational,,
Balo,startup,artificial intelligence;big data;machine learning;deep learning;natural language processing;mobile app;subscription;commission;saas;marketplace & ecommerce,https://balo.expert,early stage,2024,11-50,jobs recruitment,Melbourne,"Aquavista, 401, Docklands Drive, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",24/7 Enterprise Software Help Desk powered by the Top 1% of Experts globally,https://www.linkedin.com/company/balo/,https://ecosystem.innovationvictoria.com/companies/balo,1,942001,operational,,
Banjo,scaleup,marketplace & ecommerce,http://banjoloans.com,breakout stage,2014,51-200,fintech,Melbourne,"561, Church Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",An online lender providing secured and unsecured loans to small businesses,https://www.linkedin.com/company/banjo-loans/,https://ecosystem.innovationvictoria.com/companies/banjo_1,3,4999999,operational,,
Bare,startup,mobile app;commission;marketplace & ecommerce,https://bare.com.au/,breakout stage,2019,51-200,legal;event tech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","The new way to funeral, making the end-of-life process simpler, personalised and affordable than traditional funerals",https://www.linkedin.com/company/bare-funerals-and-cremations/,https://ecosystem.innovationvictoria.com/companies/bare_australia,7,19895454,operational,,
Bared Trading Pty Ltd,scaleup,marketplace & ecommerce,https://baredfootwear.com,breakout stage,2008,51-200,fashion,Melbourne,"Melbourne Airport, Mercer Drive, Melbourne Airport, Melbourne, City of Hume, Victoria, 3045, Australia",It's Your Turn To Experience The Bared Difference,https://www.linkedin.com/company/bared-footwear/,https://ecosystem.innovationvictoria.com/companies/bared_trading_pty_ltd,5,,operational,,
Beevo,scaleup,saas,http://beevo.com.au,early stage,2013,11-50,energy,Melbourne,"Gwynne Street, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia","Business utility management solutions, simplifying connections, negotiating supplier deals, and providing ongoing support at no cost",https://www.linkedin.com/company/beevo123/,https://ecosystem.innovationvictoria.com/companies/beevo_1,2,,operational,,
Bellroy,scaleup,selling own inventory;manufacturing,http://bellroy.com,breakout stage,2010,51-200,fashion,Melbourne,"3065 Melbourne, Australia","Constantly pursuing better ways to source the leathers, reduce the impact on the environment and make sure the products last as long as possible",https://www.linkedin.com/company/bellroy/,https://ecosystem.innovationvictoria.com/companies/bellroy,10,772727,operational,,
Belong,scaleup,subscription,http://belong.com.au,breakout stage,2013,201-500,telecom,Melbourne,"Melbourne, Victoria 3000, AU",Belong | nbn™ broadband internet and SIM only plans.,https://www.linkedin.com/company/belong.com.au/,https://ecosystem.innovationvictoria.com/companies/belong_1_2,1,,operational,,
Beyondev,startup,selling own inventory;marketplace & ecommerce,http://beyondev.com.au,early stage,2021,2-10,energy,Melbourne,"St Kilda Road, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","World-class quality, high value and quick implementation",https://www.linkedin.com/company/beyond-ev/,https://ecosystem.innovationvictoria.com/companies/beyondev,1,,operational,,
Biarri Networks Pty,scaleup,deep tech;machine learning;artificial intelligence;subscription,http://biarrinetworks.com,breakout stage,2008,51-200,telecom;transportation,Melbourne,"3000 Melbourne, Australia","Biarri combines machine learning, optimisation, operations research with powerful software to plan and design optimised networks",https://www.linkedin.com/company/biarrinetworks/,https://ecosystem.innovationvictoria.com/companies/biarri_networks_pty,4,,operational,,
Bigdatr,scaleup,big data;saas,http://bigdatr.com,early stage,2014,11-50,marketing;enterprise software,Melbourne,"Dorcas Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia",BigDatr: A beautiful way to track advertising campaigns - BigDatr,https://www.linkedin.com/company/bigdatr/,https://ecosystem.innovationvictoria.com/companies/bigdatr,1,,operational,,
Billi Australia,,manufacturing,https://www.billi.com.au/,early stage,1990,51-200,energy;engineering and manufacturing equipment,Melbourne,"Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia",,https://www.linkedin.com/company/billi-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/billi_australia,2,,acquired,,
Billy Bubbles,startup,selling own inventory;marketplace & ecommerce,http://billybubbles.com,early stage,2020,2-10,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Eco-friendly home delivery service swapping empty gas cylinders for full ones, compatible with major soda makers",https://www.linkedin.com/company/billy-bubbles/,https://ecosystem.innovationvictoria.com/companies/billy_bubbles,1,22999,operational,,
Black.ai,scaleup,autonomous & sensor tech;big data;deep tech;machine learning;iot internetofthings;3d technology;artificial intelligence;computer vision;commission;saas,http://black.ai/,early stage,2015,11-50,enterprise software,Melbourne,"55;53, Victoria Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",A cutting edge research and development start up in the artificial intelligence space,https://www.linkedin.com/company/black-ai/,https://ecosystem.innovationvictoria.com/companies/black_ai,14,9336364,operational,,
Blinq,startup,mobile app;subscription;saas,http://blinq.me/,breakout stage,2017,51-200,event tech;enterprise software,Melbourne,"Bank Place, Melbourne, City of Melbourne, Victoria, 3000, Australia",Blinq digital business cards,https://www.linkedin.com/company/blinq-me/,https://ecosystem.innovationvictoria.com/companies/blinq,9,43699999,operational,,
BoardOutlook,startup,subscription;saas,https://boardoutlook.com,early stage,2018,11-50,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",A platform for board performance,https://www.linkedin.com/company/boardoutlook/,https://ecosystem.innovationvictoria.com/companies/boardoutlook,1,500001,operational,,
Booked AI,startup,artificial intelligence;mobile app;subscription;saas,https://www.booked.ai,early stage,2023,11-50,travel,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","AI-powered travel assistant streamlining bookings with personalized, secure, and cost-effective solutions",https://www.linkedin.com/company/booked-ai/,https://ecosystem.innovationvictoria.com/companies/booked_ai,1,,operational,,
Booqyy,startup,commission;saas,https://lockii.app,early stage,2025,2-10,transportation,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Automated self-service rental software for contactless pickups,https://www.linkedin.com/company/lockii/,https://ecosystem.innovationvictoria.com/companies/booqyy,3,120000,operational,,
BowerBird App,startup,saas,http://www.bowerbird.io,early stage,2016,11-50,enterprise software,Melbourne,"Juno Creative, 36-38, Gipps Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",Platform connecting architects and journalists,https://www.linkedin.com/company/bowerbird-app/,https://ecosystem.innovationvictoria.com/companies/bowerbird_app,1,,operational,,
Breadcrumb,startup,subscription;saas,http://breadcrumb.co,breakout stage,2020,51-200,real estate;enterprise software,Melbourne,"Gwynne Street, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia",AI-powered safety and compliance management for construction,https://www.linkedin.com/company/breadcrumbhq/,https://ecosystem.innovationvictoria.com/companies/breadcrumb_4,7,,operational,,
Buildkite,scaleup,subscription;saas,http://buildkite.com,breakout stage,2014,51-200,enterprise software,Melbourne,"Brunswick Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",Creates the best automation and collaboration tools for building and shipping software,https://www.linkedin.com/company/buildkite/,https://ecosystem.innovationvictoria.com/companies/buildkite,8,60763636,operational,,
BuildPass,startup,recognition technology;subscription;saas,https://buildpass.ai,breakout stage,2021,51-200,enterprise software,Melbourne,"Cremorne Street, Cremorne, Abbotsford, Melbourne, City of Yarra, Victoria, 3121, Australia",Construction safety software for businesses of all sizes,https://www.linkedin.com/company/buildpass/,https://ecosystem.innovationvictoria.com/companies/buildpass,5,7500001,operational,,
Buildsafe,,commission;manufacturing,http://buildsafe.net.au,breakout stage,2001,201-500,real estate,Melbourne,"Arundel Creek, Melbourne Airport, Melbourne, City of Hume, Victoria, 3045, Australia","Height safety solutions for the construction industry, focusing on risk elimination through product design and engineering",https://www.linkedin.com/company/buildsafe-australia/,https://ecosystem.innovationvictoria.com/companies/buildsafe,13,,operational,,
Buzz Products,,,https://www.buzzproducts.com/,breakout stage,1999,201-500,travel;fashion,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",,https://www.linkedin.com/company/buzz-products/,https://ecosystem.innovationvictoria.com/companies/buzz_products,13,,operational,,
Cadmus,scaleup,commission;marketplace & ecommerce,http://cadmus.io,breakout stage,2015,51-200,education,Melbourne,"3053 Melbourne, Australia",Online written assessment platform for higher education,https://www.linkedin.com/company/cadmus-io/,https://ecosystem.innovationvictoria.com/companies/vericus,7,600000,operational,,
calld.ai,startup,artificial intelligence;subscription;saas,https://calldai.com,early stage,2024,2-10,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI-powered virtual agents for contact center engagement,https://www.linkedin.com/company/calldai/,https://ecosystem.innovationvictoria.com/companies/calld_ai,2,,operational,,
Campuslife,startup,subscription,http://campuslife.com.au,early stage,2021,11-50,jobs recruitment,Melbourne,"Rupert Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",Get the job you want,https://www.linkedin.com/company/campuslifeaus/,https://ecosystem.innovationvictoria.com/companies/campuslife,1,,operational,,
Cann Group,scaleup,commission;manufacturing,http://canngrouplimited.com,breakout stage,2015,51-200,health,Melbourne,"3149 Melbourne, Australia",Developing medicinal cannabis products to improve quality of life for Australian patients,https://www.linkedin.com/company/cann-group/,https://ecosystem.innovationvictoria.com/companies/cann_group,1,,operational,,
Capa Intelligence,startup,big data;subscription;saas,http://capaintelligence.com,early stage,2022,2-10,security;energy,Melbourne,"Easey's, 48, Easey Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",Cybersecurity intelligence for renewable energy grids.,https://www.linkedin.com/company/capaintelligence/,https://ecosystem.innovationvictoria.com/companies/capa_intelligence,1,,operational,,
Car Group,,commission;marketplace & ecommerce,https://cargroup.com/,late stage,1997,501-1000,transportation,Melbourne,"Punt Road, Cremorne, Melbourne, City of Yarra, Victoria, 3121, Australia",Global digital marketplaces for automotive and industrial assets.,https://www.linkedin.com/company/car-group/,https://ecosystem.innovationvictoria.com/companies/car_group,5,,operational,,
CarePage,scaleup,big data;marketplace & ecommerce;saas,http://www.carepage.com.au,early stage,2014,2-10,health;home living,Melbourne,"114, Flinders Street, 3000 Melbourne, Australia","Aged Care Directory, ratings and customer experience dashboard SaaS",https://www.linkedin.com/company/carepageau,https://ecosystem.innovationvictoria.com/companies/carepage,1,,operational,,
Cartherics,scaleup,commission;manufacturing,http://cartherics.com,breakout stage,2014,11-50,health,Melbourne,"3168 Melbourne, Australia",Developing the next generation of improved and optimized chimeric antigen receptor CAR-T cell products,https://www.linkedin.com/company/cartherics-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/cartherics,7,24383636,operational,,
CentrePal,startup,artificial intelligence;subscription;saas,http://centrepal.com,early stage,2021,11-50,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI-powered omnichannel contact center for Microsoft Teams,https://www.linkedin.com/company/centrepal/,https://ecosystem.innovationvictoria.com/companies/centrepal,2,,operational,,
Chronicle,startup,subscription;saas,http://chronicle.rip,breakout stage,2016,51-200,enterprise software,Melbourne,"Melbourne, Australia","Chronicle is a Simple Cemetery Software Designed To Help Cemeteries Organize Records, Mapping Plots Accurately & Build Better Engagement",https://www.linkedin.com/company/chroniclesoftware/,https://ecosystem.innovationvictoria.com/companies/chronicle_1_6,3,,operational,,
Cipher Sports Technology Group,startup,machine learning;artificial intelligence;commission;saas,http://ciphersports.io,early stage,2021,11-50,gaming,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Powered by advanced analytics that drive the machine learning models developed by team of data scientists,https://www.linkedin.com/company/ciphersports/,https://ecosystem.innovationvictoria.com/companies/cipher_sports_technology_group,1,4999999,operational,,
CitoPlus,startup,commission;saas,http://citoplus.com.au,early stage,2021,11-50,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Enabling more SME's to obtain the right funding, faster",https://www.linkedin.com/company/citoplus/,https://ecosystem.innovationvictoria.com/companies/citoplus,2,,operational,,
Clear21,,subscription;saas,https://clear21.com/,breakout stage,1990,51-200,transportation,Melbourne,"Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",SaaS solutions for the automotive repair industry,https://www.linkedin.com/company/clear21/,https://ecosystem.innovationvictoria.com/companies/clear21,7,,operational,,
Clevero,startup,commission;saas,http://clevero.co,early stage,2020,11-50,marketing;enterprise software,Melbourne,"Malvern East, Melbourne, City of Stonnington, Victoria, Australia",Clevero offers CRM & Business Management Solutions for Small Business,https://www.linkedin.com/company/cleverohq/,https://ecosystem.innovationvictoria.com/companies/clevero_1,2,,operational,,
Click Frenzy,scaleup,,http://clickfrenzy.com.au,early stage,2012,2-10,fashion;event tech,Melbourne,"3149 Melbourne, Australia",Click Frenzy is Australia’s first and most recognised national online mega-sale event,https://www.linkedin.com/company/click-frenzy/,https://ecosystem.innovationvictoria.com/companies/click_frenzy,3,,acquired,,
Clipboard Hospitality,startup,big data;subscription;saas,https://www.clipboardhospo.com/,early stage,2018,2-10,health;jobs recruitment,Melbourne,"Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",A professional networking platform for the hospitality community,https://www.linkedin.com/company/clipboardau/,https://ecosystem.innovationvictoria.com/companies/clipboard_hospitality,1,749999,operational,,
Co-Conspirators Brewing Company,startup,selling own inventory;marketplace & ecommerce,https://coconspirators.com.au,early stage,2016,2-10,food,Melbourne,"377, Victoria Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","Crafting unique beers with bold flavors, inspired by a passion for brewing and a commitment to quality",https://www.linkedin.com/company/coconspirators-brewing-company/,https://ecosystem.innovationvictoria.com/companies/co_conspirators_brewing_company,1,620000,operational,,
Compass Education,scaleup,subscription;saas,https://www.compass.education/,breakout stage,2009,201-500,education;enterprise software,Melbourne,"Heading Out, 74, Doncaster Road, Balwyn North, Melbourne, City of Boroondara, Victoria, 3104, Australia","Suite of software tools for schools to manage administrative tasks, schedules, and student data",https://www.linkedin.com/company/compasseducation/,https://ecosystem.innovationvictoria.com/companies/compass_education,9,60000001,operational,,
Computers Now,,commission,http://compnow.com.au,breakout stage,1991,201-500,education,Melbourne,"3168 Melbourne, Australia","CompNow providing sales, service and support across the technology spectrum",https://www.linkedin.com/company/comp-now/,https://ecosystem.innovationvictoria.com/companies/computers_now,10,,operational,,
Connective,,,http://www.connective.com.au,early stage,2003,201-500,fintech,Melbourne,"567, Collins Street, 3000 Melbourne, Australia",Mortgage Aggregator - Broker Software Platform | Connective,https://www.linkedin.com/company/connective-services/,https://ecosystem.innovationvictoria.com/companies/connective,5,,acquired,,
Contour Education,startup,,https://www.contoureducation.com.au/,breakout stage,2020,201-500,education,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Tutoring ecosystem for VCE and high school students,https://www.linkedin.com/company/contoureducation/,https://ecosystem.innovationvictoria.com/companies/contour_education,62,,operational,,
Convincely,scaleup,deep tech;machine learning;recognition technology;artificial intelligence;subscription;saas,http://convincely.com,early stage,2015,11-50,marketing,Melbourne,"3000 Melbourne, Australia",Sentient AI platform that generates emotive language to drive user action,https://www.linkedin.com/company/convincely/,https://ecosystem.innovationvictoria.com/companies/convincely,1,,operational,,
Cor,startup,artificial intelligence;subscription;saas,https://getcor.ai,early stage,2024,2-10,marketing;enterprise software,Melbourne,"1-9, Sackville Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia","Cor AI agents assist Customer Success teams by tracking customer signals from conversations, internal data, and online sources, turning these insights into timely actions that boost retention and foster growth",https://www.linkedin.com/company/cor-ai/,https://ecosystem.innovationvictoria.com/companies/cor_3,1,2000001,operational,,
Cortical Labs,startup,artificial intelligence;hardware;deep tech;machine learning;selling own inventory;manufacturing,https://corticallabs.com/,early stage,2019,11-50,health;semiconductors,Melbourne,"99, Commercial Road, 3004 Melbourne, Australia",We are a biological computing startup putting live neurons into chips to revolutionise computing. Welcome to the post-silicon age,https://www.linkedin.com/company/cclabs-ai/,https://ecosystem.innovationvictoria.com/companies/cortical_labs,4,16064546,operational,,
